genre,Avant-Garde,Blues,Children's,Classical,Comedy/Spoken,Country,Easy Listening,Electronic,Folk,International,Jazz,Latin,New Age,Pop/Rock,R&B;,Reggae,Religious,Stage & Screen,Vocal
Avant-Garde,0.164781426,0.21280658,0.17936863,0.388146268,0.109295278,0.188546947,0.300448285,0.198313966,0.242258042,0.242957372,0.36530068,0.188227769,0.443245333,0.181624866,0.185924312,0.163966419,0.200974867,0.305444549,0.235330848
Blues,0.21280658,0.277377149,0.410427106,0.187535906,0.121567487,0.516464074,0.275096389,0.302066942,0.416365716,0.571307493,0.318453448,0.514345915,0.180756866,0.342794584,0.433922629,0.314698402,0.345697814,0.213323454,0.347664931
Children's,0.17936863,0.410427106,0.304748928,0.168779986,0.126376858,0.375335903,0.235629108,0.225824208,0.348643526,0.338826028,0.239318366,0.352277826,0.156523453,0.261949835,0.313205311,0.280313576,0.269516759,0.191829394,0.329473946
Classical,0.388146268,0.187535906,0.168779986,0.239925583,0.107615085,0.17064949,0.286486606,0.166642462,0.230279115,0.20563691,0.26613403,0.165082131,0.392576862,0.162945051,0.162390384,0.143154973,0.181862377,0.372664717,0.238476486
Comedy/Spoken,0.109295278,0.121567487,0.126376858,0.107615085,0.141393974,0.117100499,0.114403984,0.120022831,0.120400712,0.123685432,0.117341051,0.119599087,0.104498956,0.118834356,0.121678107,0.129011656,0.124118793,0.110853059,0.123433113
Country,0.188546947,0.516464074,0.375335903,0.17064949,0.117100499,0.313018622,0.248836089,0.300515449,0.343045455,0.409145011,0.261820458,0.526601232,0.164472721,0.41205817,0.448286239,0.307497336,0.366590254,0.196996304,0.303827827
Easy Listening,0.300448285,0.275096389,0.235629108,0.286486606,0.114403984,0.248836089,0.297307172,0.234687405,0.315201347,0.293819454,0.36307346,0.235426033,0.271888746,0.232152773,0.223736523,0.190800189,0.239221576,0.41692148,0.309198791
Electronic,0.198313966,0.302066942,0.225824208,0.166642462,0.120022831,0.300515449,0.234687405,0.231116058,0.232290111,0.325317625,0.279666898,0.34921252,0.178462178,0.395820295,0.376754091,0.303954354,0.318600697,0.192502904,0.218718727
Folk,0.242258042,0.416365716,0.348643526,0.230279115,0.120400712,0.343045455,0.315201347,0.232290111,0.286658179,0.411688211,0.324898204,0.304697157,0.202626389,0.261188272,0.283753979,0.228920697,0.294489302,0.256918709,0.547210243
International,0.242957372,0.571307493,0.338826028,0.20563691,0.123685432,0.409145011,0.293819454,0.325317625,0.411688211,0.235857976,0.390345603,0.437016839,0.200979202,0.333507406,0.413790869,0.298945319,0.372111713,0.22981024,0.355556327
Jazz,0.36530068,0.318453448,0.239318366,0.26613403,0.117341051,0.261820458,0.36307346,0.279666898,0.324898204,0.390345603,0.242921876,0.272536869,0.282262405,0.246670929,0.265521185,0.221234614,0.269156134,0.287791796,0.299261905
Latin,0.188227769,0.514345915,0.352277826,0.165082131,0.119599087,0.526601232,0.235426033,0.34921252,0.304697157,0.437016839,0.272536869,0.279001782,0.163916587,0.404435691,0.64707178,0.381942026,0.35358064,0.188481839,0.275061668
New Age,0.443245333,0.180756866,0.156523453,0.392576862,0.104498956,0.164472721,0.271888746,0.178462178,0.202626389,0.200979202,0.282262405,0.163916587,0.215840056,0.164544857,0.162387576,0.143919196,0.178346136,0.318580328,0.202578994
Pop/Rock,0.181624866,0.342794584,0.261949835,0.162945051,0.118834356,0.41205817,0.232152773,0.395820295,0.261188272,0.333507406,0.246670929,0.404435691,0.164544857,0.269419264,0.420704491,0.28633321,0.430585806,0.19094071,0.247646541
R&B;,0.185924312,0.433922629,0.313205311,0.162390384,0.121678107,0.448286239,0.223736523,0.376754091,0.283753979,0.413790869,0.265521185,0.64707178,0.162387576,0.420704491,0.276245548,0.405285203,0.371149497,0.18398357,0.261912389
Reggae,0.163966419,0.314698402,0.280313576,0.143154973,0.129011656,0.307497336,0.190800189,0.303954354,0.228920697,0.298945319,0.221234614,0.381942026,0.143919196,0.28633321,0.405285203,0.267751544,0.252859718,0.159401606,0.211564091
Religious,0.200974867,0.345697814,0.269516759,0.181862377,0.124118793,0.366590254,0.239221576,0.318600697,0.294489302,0.372111713,0.269156134,0.35358064,0.178346136,0.430585806,0.371149497,0.252859718,0.259343812,0.204036572,0.294007201
Stage & Screen,0.305444549,0.213323454,0.191829394,0.372664717,0.110853059,0.196996304,0.41692148,0.192502904,0.256918709,0.22981024,0.287791796,0.188481839,0.318580328,0.19094071,0.18398357,0.159401606,0.204036572,0.255248278,0.271100585
Vocal,0.235330848,0.347664931,0.329473946,0.238476486,0.123433113,0.303827827,0.309198791,0.218718727,0.547210243,0.355556327,0.299261905,0.275061668,0.202578994,0.247646541,0.261912389,0.211564091,0.294007201,0.271100585,0.294092992
